,Unknown (Voting Frequency),1 (Voting Frequency),2 (Voting Frequency),3 (Voting Frequency),4 (Voting Frequency),5 (Voting Frequency),6 (Voting Frequency),7 (Voting Frequency),8 (Voting Frequency),European (Broad Ethnic Groupings),Hispanic and Portuguese (Broad Ethnic Groupings),Likely African-American (Broad Ethnic Groupings),East and South Asian (Broad Ethnic Groupings),Other (Broad Ethnic Groupings),Unknown (Broad Ethnic Groupings),18 to 19 (Age Range Based on Birth Year),20 to 24 (Age Range Based on Birth Year),25 to 29 (Age Range Based on Birth Year),30 to 34 (Age Range Based on Birth Year),35 to 39 (Age Range Based on Birth Year),40 to 44 (Age Range Based on Birth Year),45 to 49 (Age Range Based on Birth Year),50 to 54 (Age Range Based on Birth Year),55 to 64 (Age Range Based on Birth Year),65 and over (Age Range Based on Birth Year),Unknown (Age Range Based on Birth Year),Unknown (Estimated Income Range),"""$1,000-$14,999 (Estimated Income Range)""","""$15,000-$24,999 (Estimated Income Range)""","""$25,000-$34,999 (Estimated Income Range)""","""$35,000-$49,999 (Estimated Income Range)""","""$50,000-$74,999 (Estimated Income Range)""","""$75,000-$99,999 (Estimated Income Range)""","""$100,000-$124,999 (Estimated Income Range)""","""$125,000-$149,999 (Estimated Income Range)""","""$150,000-$174,999 (Estimated Income Range)""","""$175,000-$199,999 (Estimated Income Range)""","""$200,000-$249,999 (Estimated Income Range)""","""$250,000 and up (Estimated Income Range)""",Liberal (Ideology - General),Moderate (Ideology - General),Conservative (Ideology - General),Unknown (Ideology - General),Libertarian (Parties Description),Republican (Parties Description),Democratic (Parties Description),American Independent (Parties Description),Non-Partisan (Parties Description),Other (Parties Description),Registered Independent (Parties Description),Total
MI -- MASON (County),132,47,70,87,131,127,104,171,214,940,11,2,1,8,121,0,0,6,19,45,48,44,71,183,666,1,2,50,35,50,120,283,223,0,280,16,15,3,6,70,88,680,245,0,710,314,0,59,0,0,1083
MI -- MECOSTA (County),138,65,70,75,116,115,132,154,246,957,9,1,1,6,137,0,5,12,23,35,39,44,48,204,691,10,2,40,34,44,149,328,256,0,229,11,9,3,6,67,56,737,251,0,766,279,0,66,0,0,1111
MI -- MENOMINEE (County),102,26,37,37,64,65,93,55,78,444,1,2,0,6,104,0,1,4,9,9,19,22,19,91,382,1,0,43,29,32,72,166,106,0,100,5,2,1,1,32,85,336,104,0,358,169,0,30,0,0,557
MI -- MIDLAND (County),288,135,156,159,267,276,330,400,293,1889,32,3,5,33,342,0,9,17,57,86,123,121,155,395,1338,3,1,100,60,91,222,557,508,16,622,44,45,25,13,240,183,1433,448,0,1524,644,0,136,0,0,2304
MI -- MISSAUKEE (County),64,29,25,30,49,51,46,73,128,399,5,0,5,5,81,0,1,0,6,17,24,18,29,93,307,0,1,30,29,22,57,139,91,0,121,4,1,0,0,6,29,377,83,0,374,75,0,46,0,0,495
MI -- MONROE (County),614,238,258,337,562,553,562,605,793,3673,66,13,10,56,704,0,14,45,93,163,173,248,284,921,2564,17,3,110,65,135,280,877,1140,90,1538,79,127,56,22,424,480,2690,928,0,2902,1335,0,285,0,0,4522
MI -- MONTCALM (County),289,94,106,112,178,178,194,198,313,1430,22,5,3,13,189,0,5,21,36,51,66,85,116,301,980,1,3,74,55,81,203,557,325,0,309,23,21,4,7,82,192,1065,323,0,1103,456,0,103,0,0,1662
MI -- MONTMORENCY (County),46,26,24,33,35,41,55,63,86,348,3,0,0,3,55,0,2,1,4,13,9,12,21,62,284,1,2,35,25,26,66,123,57,0,67,0,6,1,1,14,23,277,95,0,291,99,0,19,0,0,409
MI -- MUSKEGON (County),761,348,319,369,612,597,597,743,1113,4305,90,280,11,29,744,0,22,40,127,233,280,278,324,1011,3133,11,9,301,199,278,663,1392,1160,50,1245,40,77,26,19,674,966,2775,1044,0,3012,2184,0,263,0,0,5459
MI -- NEWAYGO (County),224,95,91,109,168,182,176,198,329,1351,8,2,2,9,200,0,6,15,27,55,66,77,94,300,927,5,2,89,53,81,199,492,297,0,327,16,11,3,2,99,153,1024,296,0,1083,409,0,80,0,0,1572
MI -- OAKLAND (County),1993,909,1040,1325,2270,2248,2508,3235,5016,15198,366,1252,186,503,3039,0,51,182,558,829,976,1028,1333,3716,11785,86,31,308,229,371,955,2551,3560,238,7088,1110,1432,1180,1491,3889,1745,10655,4255,0,11700,7714,0,1130,0,0,20544
MI -- OCEANA (County),121,37,37,45,78,59,92,101,189,605,19,1,2,5,127,0,5,2,18,15,24,38,40,137,476,4,0,49,33,36,105,234,144,0,146,4,5,2,1,69,63,493,134,0,515,214,0,30,0,0,759
MI -- OGEMAW (County),107,40,42,47,79,74,84,100,168,618,5,0,1,2,115,0,6,3,19,17,26,23,34,124,487,2,0,80,47,56,123,195,110,0,124,3,0,1,2,27,62,462,190,0,485,226,0,30,0,0,741
MI -- ONTONAGON (County),44,10,8,6,24,20,32,32,53,179,0,0,0,6,44,0,0,2,2,6,0,5,10,37,165,2,0,20,19,15,33,55,34,0,51,2,0,0,0,9,22,146,52,0,148,72,0,9,0,0,229
MI -- OSCEOLA (County),85,40,42,56,69,97,95,126,132,620,9,0,2,4,107,0,5,6,8,21,21,39,42,126,474,0,6,58,45,46,124,226,107,0,126,3,0,1,0,28,65,530,119,0,542,136,0,64,0,0,742
MI -- OSCODA (County),41,23,21,18,26,33,30,32,75,248,0,1,4,2,44,0,0,1,4,11,5,16,12,50,200,0,5,38,21,23,61,79,31,0,38,2,0,0,1,5,20,200,74,0,210,74,0,15,0,0,299
MI -- OTSEGO (County),85,34,36,41,90,68,73,87,169,561,1,0,0,6,115,0,0,4,21,23,32,29,30,154,390,0,3,34,16,21,75,182,138,0,180,9,15,7,3,27,66,446,144,0,453,189,0,41,0,0,683
MI -- OTTAWA (County),470,238,308,402,667,669,860,1004,1352,4719,139,7,28,54,1023,0,19,50,153,260,302,311,407,914,3546,8,3,83,64,117,287,987,1481,80,2205,172,249,167,75,868,159,3828,1115,0,4283,1235,0,452,0,0,5970
MI -- PRESQUE ISLE (County),73,20,27,33,60,71,66,82,120,441,7,0,0,4,100,0,0,7,11,17,15,23,25,78,376,0,2,43,19,27,70,149,109,0,114,3,12,3,1,38,36,363,115,0,389,149,0,14,0,0,552
MI -- ROSCOMMON (County),112,46,41,48,100,81,95,114,240,729,4,1,1,12,130,0,3,8,11,15,22,26,44,120,622,6,4,75,48,63,160,238,104,4,158,6,8,7,2,34,71,544,228,0,563,274,0,40,0,0,877
MI -- SAGINAW (County),691,246,312,366,538,593,631,827,1040,3792,220,378,17,52,785,0,16,48,126,168,232,239,340,971,3086,18,7,352,234,315,644,1205,1114,12,1202,46,73,24,16,664,737,2855,988,0,2971,2025,0,248,0,0,5244
MI -- SANILAC (County),155,63,70,78,119,138,154,175,288,1044,20,0,1,13,162,0,2,7,27,33,36,56,81,240,754,4,0,71,52,65,129,383,237,0,270,14,12,4,3,44,75,881,240,0,866,270,0,104,0,0,1240
MI -- SCHOOLCRAFT (County),36,14,21,16,32,34,27,23,33,192,0,0,1,3,40,0,2,1,5,5,5,9,15,43,151,0,1,15,14,16,48,63,39,0,36,0,3,0,1,1,37,135,63,0,142,79,0,15,0,0,236
MI -- SHIAWASSEE (County),235,109,127,170,251,244,241,274,362,1691,23,1,7,20,271,0,7,21,46,73,93,86,151,401,1134,1,4,81,66,90,227,505,491,0,487,23,24,12,3,93,292,1189,439,0,1241,669,0,103,0,0,2013
MI -- ST. CLAIR (County),685,297,301,357,519,515,579,696,1092,4060,92,15,10,54,810,0,18,33,108,176,237,264,364,1061,2767,13,8,169,118,198,434,1113,1253,30,1440,76,128,50,24,403,558,3072,1008,0,3291,1431,0,319,0,0,5041
MI -- ST. JOSEPH (County),281,80,94,109,160,167,189,199,221,1284,9,5,4,11,187,0,4,13,40,54,76,77,94,239,893,10,2,72,48,69,155,438,325,3,324,26,31,4,3,106,161,978,255,0,1020,383,0,97,0,0,1500
MI -- TUSCOLA (County),263,100,122,127,220,218,233,268,334,1554,33,3,3,15,277,0,4,16,26,66,76,102,123,371,1096,5,3,104,59,89,226,613,386,0,368,25,6,5,1,75,180,1245,385,0,1273,529,0,83,0,0,1885
MI -- VAN BUREN (County),279,113,103,150,233,174,210,227,305,1504,35,10,1,23,221,0,7,18,49,60,77,100,92,342,1039,10,1,76,54,77,190,437,413,10,444,25,35,16,16,231,217,1024,322,0,1112,568,0,114,0,0,1794
MI -- WASHTENAW (County),452,177,204,309,481,491,631,754,1135,3547,76,265,58,75,613,0,18,38,116,207,228,221,308,818,2662,18,3,63,62,100,232,513,759,70,1655,254,334,293,296,1427,479,1900,828,0,2187,2087,0,360,0,0,4634
MI -- WAYNE (County),4924,1744,1866,2093,3177,2968,3247,4106,5764,18333,776,6286,189,719,3586,0,141,310,871,1358,1393,1589,2123,5714,16022,368,80,1546,1086,1665,3362,6466,5585,226,7306,582,830,530,625,3652,6184,12121,7932,0,12709,15018,0,2162,0,0,29889
MI -- WEXFORD (County),164,61,64,59,80,105,119,140,233,877,8,0,0,10,130,0,2,6,23,35,45,36,64,187,625,2,2,63,43,62,164,319,170,0,180,6,12,3,1,67,88,654,216,0,704,267,0,54,0,0,1025
MN -- AITKIN (County),8,17,31,47,103,119,91,78,76,496,1,0,0,4,69,0,0,2,2,8,17,19,19,81,421,1,3,31,20,28,87,160,105,0,118,6,4,5,3,7,39,413,111,0,435,85,0,50,0,0,570
MN -- ANOKA (County),140,297,575,951,2813,1534,1034,777,496,6935,86,38,55,101,1402,0,26,48,131,268,526,510,613,1786,4694,15,20,90,86,121,405,1259,2070,345,2989,364,408,264,196,376,557,5464,2220,0,6658,987,0,972,0,0,8617
MN -- BECKER (County),19,30,64,92,260,165,93,72,50,679,2,1,3,8,152,0,2,3,14,15,32,45,42,106,585,1,3,47,37,33,82,166,215,5,214,11,18,10,4,16,42,647,140,0,653,108,0,84,0,0,845
MN -- BELTRAMI (County),16,45,43,99,227,137,152,106,45,712,1,1,2,10,144,0,3,4,14,21,47,38,41,113,586,3,3,37,33,33,97,219,222,4,199,7,9,4,3,34,85,587,164,0,638,140,0,92,0,0,870
MN -- BENTON (County),19,29,56,106,220,135,71,88,61,609,6,1,0,4,165,0,2,6,7,30,41,40,53,149,456,1,1,15,13,18,81,175,221,21,210,6,14,8,2,14,91,518,162,0,611,82,0,92,0,0,785
MN -- BIG STONE (County),5,2,4,19,22,26,19,19,14,106,0,0,0,0,24,0,1,2,2,3,5,4,4,14,93,2,1,7,2,13,15,33,33,0,24,1,0,0,1,6,3,93,28,0,98,14,0,18,0,0,130
MN -- BLUE EARTH (County),13,37,73,101,262,229,176,177,74,912,11,1,6,3,209,0,4,5,17,30,55,59,54,200,714,4,1,22,31,39,109,218,345,25,287,21,29,8,7,57,135,752,198,0,839,166,0,137,0,0,1142
MN -- BROWN (County),16,18,27,40,108,126,125,123,63,502,0,0,0,7,137,0,1,1,4,18,17,19,27,93,460,6,2,19,19,22,70,173,164,6,156,3,8,3,1,21,50,434,141,0,470,76,0,100,0,0,646
MN -- CARLTON (County),7,25,57,87,227,168,133,116,67,718,3,1,3,6,156,0,2,2,13,28,49,39,53,163,535,3,0,22,26,26,76,202,231,34,222,15,24,7,2,43,69,556,219,0,659,132,0,96,0,0,887
MN -- CARVER (County),23,44,111,195,730,337,204,153,71,1499,19,1,7,20,322,0,5,7,33,52,143,142,151,393,940,2,5,17,8,15,52,163,270,53,604,118,193,176,194,61,118,1093,596,0,1573,132,0,163,0,0,1868
MN -- CASS (County),17,38,54,74,193,157,104,98,56,656,3,0,2,1,129,0,1,2,10,22,28,28,30,139,531,0,6,36,16,36,79,202,155,6,205,12,22,11,5,29,62,547,153,0,605,100,0,86,0,0,791
MN -- CHIPPEWA (County),8,7,12,34,76,62,45,52,0,241,0,0,0,0,55,0,0,0,3,8,17,7,15,41,203,2,1,9,11,17,48,78,60,2,67,0,1,2,0,13,21,201,61,0,228,42,0,26,0,0,296
MN -- CHISAGO (County),23,46,87,156,386,234,152,105,52,1003,9,2,6,6,215,0,3,4,13,49,75,72,71,271,683,0,2,21,7,22,56,200,304,80,423,40,45,27,14,31,68,855,287,0,946,149,0,146,0,0,1241
MN -- CLAY (County),25,40,73,127,312,215,155,108,51,881,11,0,9,8,197,0,4,8,14,27,60,61,91,170,668,3,4,23,15,28,93,217,257,29,361,25,30,17,7,49,166,686,205,0,807,143,0,156,0,0,1106
MN -- CLEARWATER (County),5,8,12,19,52,32,29,16,13,150,2,0,0,1,33,0,0,2,5,3,9,4,11,33,118,1,2,23,5,13,21,51,35,0,35,1,0,0,0,3,15,143,25,0,135,30,0,21,0,0,186
MN -- COOK (County),3,2,4,7,12,16,7,15,16,65,2,0,0,3,12,0,0,0,2,1,1,5,5,14,54,0,0,3,1,4,5,19,25,0,19,1,2,2,1,3,13,48,18,0,46,23,0,13,0,0,82
MN -- COTTONWOOD (County),5,10,13,27,90,53,30,20,7,202,2,0,0,1,50,0,0,0,4,5,9,9,7,40,181,0,0,16,10,19,36,48,62,0,58,3,2,1,0,10,21,171,53,0,185,40,0,30,0,0,255
MN -- CROW WING (County),38,53,89,171,441,376,280,186,74,1402,8,0,4,12,282,0,5,7,20,43,67,69,87,267,1141,2,6,59,47,67,178,429,418,11,401,26,33,21,12,55,151,1109,393,0,1224,261,0,223,0,0,1708
MN -- DAKOTA (County),141,236,486,880,2865,1555,1090,855,585,7023,155,19,50,91,1355,0,25,52,140,298,555,545,610,1698,4761,9,18,63,69,103,337,990,1788,251,3038,495,664,493,384,518,527,5247,2401,0,6654,1015,0,1024,0,0,8693
MN -- DODGE (County),4,14,15,48,137,76,55,47,16,353,4,0,0,3,52,0,1,5,6,10,15,23,55,78,218,1,0,12,3,12,20,60,123,10,127,17,20,6,2,10,33,289,80,0,326,41,0,45,0,0,412
MN -- DOUGLAS (County),15,27,57,81,289,201,170,114,60,821,4,0,1,6,182,0,1,2,8,21,37,33,51,164,695,2,0,28,17,25,80,203,241,36,318,17,26,11,12,23,58,770,163,0,808,120,0,86,0,0,1014
MN -- FARIBAULT (County),4,12,21,27,93,53,49,48,15,249,5,1,0,0,67,0,0,2,3,11,22,9,14,54,205,2,0,19,8,14,38,88,71,0,81,1,0,2,0,4,26,242,50,0,243,39,0,40,0,0,322
MN -- FILLMORE (County),9,16,25,45,115,99,82,27,2,349,0,0,0,1,70,0,0,1,5,6,18,22,28,61,279,0,2,21,9,13,31,81,133,0,118,5,6,1,0,13,34,276,97,0,321,56,0,43,0,0,420
MN -- FREEBORN (County),13,17,32,59,144,152,128,122,47,581,6,0,2,4,121,0,1,3,3,12,17,22,32,112,511,1,1,50,25,38,85,201,170,0,130,8,3,3,0,62,48,461,143,0,481,153,0,80,0,0,714
MN -- GOODHUE (County),15,37,56,111,341,205,154,148,99,944,7,0,4,15,196,0,4,8,15,39,63,41,81,181,730,4,4,31,14,35,87,241,288,49,333,28,37,15,4,31,71,797,267,0,863,151,0,152,0,0,1166
MN -- GRANT (County),2,2,7,7,29,19,21,17,17,104,0,0,0,1,16,0,1,2,1,3,3,6,2,14,89,0,1,12,5,6,14,23,21,0,32,5,2,0,0,0,10,83,28,0,81,25,0,15,0,0,121
MN -- HENNEPIN (County),254,423,837,1362,4496,2925,2413,2294,1275,12692,189,322,140,217,2719,0,30,107,274,545,870,845,950,2654,9951,53,45,203,169,263,799,2210,3218,415,5136,750,1049,952,1070,2099,906,8155,5119,0,11200,3399,0,1680,0,0,16279
MN -- HOUSTON (County),11,19,29,38,120,111,84,64,32,395,3,1,1,3,105,0,2,0,1,10,12,25,21,93,342,2,0,22,14,21,39,111,137,7,137,4,10,5,1,13,49,344,102,0,368,91,0,49,0,0,508
MN -- HUBBARD (County),14,10,28,66,173,113,74,65,22,471,3,1,0,6,84,0,1,4,6,12,20,23,24,95,380,0,1,18,11,21,63,163,134,0,139,7,5,3,0,16,24,405,120,0,415,71,0,79,0,0,565
MN -- ISANTI (County),20,42,79,109,260,182,122,120,32,779,7,1,3,13,163,0,3,7,11,39,51,47,67,180,560,1,2,18,16,26,79,197,274,63,252,13,15,6,5,29,58,673,206,0,725,119,0,122,0,0,966
MN -- ITASCA (County),25,41,60,106,239,210,230,186,158,1052,3,1,1,17,181,0,3,6,19,26,35,53,41,201,869,2,2,80,36,61,132,325,291,6,282,11,17,9,3,43,85,837,290,0,953,193,0,109,0,0,1255
MN -- JACKSON (County),5,3,8,20,58,43,35,21,8,159,2,0,0,1,39,0,0,0,0,4,13,5,6,32,141,0,0,13,9,7,18,48,58,0,45,1,2,0,0,4,15,126,56,0,148,36,0,17,0,0,201
MN -- KANABEC (County),13,19,32,71,136,95,60,35,3,384,2,0,1,2,75,0,0,3,5,12,22,24,20,81,297,0,2,19,19,19,56,134,94,0,101,7,10,2,1,10,48,308,98,0,341,62,0,61,0,0,464
MN -- KANDIYOHI (County),9,15,38,86,233,184,161,105,38,710,10,0,2,5,142,0,1,3,8,19,30,43,46,125,591,3,3,24,22,25,82,172,280,22,211,10,6,8,4,44,57,600,168,0,644,134,0,91,0,0,869
MN -- KITTSON (County),3,2,1,5,15,16,11,16,14,69,0,0,0,3,11,0,0,0,1,0,3,2,1,17,59,0,1,6,2,1,11,22,20,0,19,1,0,0,0,0,9,59,15,0,62,14,0,7,0,0,83
MN -- KOOCHICHING (County),4,6,17,33,81,47,48,26,25,235,3,0,1,2,46,0,0,2,1,2,8,11,16,50,195,2,2,19,22,15,35,82,46,5,58,2,1,0,0,3,35,157,92,0,211,44,0,32,0,0,287
MN -- LAC QUI PARLE (County),6,8,9,10,31,31,23,23,22,129,0,0,0,1,33,0,1,1,1,4,7,8,9,16,116,0,0,4,5,7,20,42,44,0,40,1,0,0,0,2,16,108,37,0,124,19,0,20,0,0,163
MN -- LAKE (County),10,4,19,22,69,55,62,47,17,253,3,0,1,2,46,0,0,0,4,11,10,8,14,58,198,2,2,15,7,18,28,82,92,0,51,5,1,2,2,21,24,168,92,0,200,66,0,39,0,0,305
MN -- LAKE OF THE WOODS (County),1,3,2,10,17,8,11,18,15,67,0,0,0,3,15,0,0,0,0,1,2,4,4,17,57,0,1,5,4,2,7,21,20,0,25,0,0,0,0,0,4,70,11,0,68,11,0,6,0,0,85
MN -- LE SUEUR (County),19,24,39,66,172,135,108,79,19,522,1,0,0,12,126,0,4,0,7,19,38,31,33,126,401,2,5,15,12,14,44,137,164,25,198,15,19,7,6,18,38,474,131,0,525,58,0,78,0,0,661
MN -- LINCOLN (County),2,1,7,17,43,20,10,16,0,95,0,0,0,1,20,0,0,1,3,2,7,5,2,17,79,0,0,11,4,6,7,27,30,0,31,0,0,0,0,3,5,85,23,0,91,12,0,13,0,0,116
MN -- LYON (County),6,14,29,44,130,95,70,52,24,354,1,1,0,4,104,0,0,3,3,12,27,21,22,64,312,0,2,15,7,12,49,117,127,7,112,8,6,0,2,25,22,336,81,0,349,56,0,59,0,0,464
MN -- MAHNOMEN (County),2,4,2,7,17,20,18,21,13,79,0,0,0,1,24,0,0,0,0,1,2,1,11,9,79,1,0,5,9,5,10,29,21,0,24,0,1,0,0,3,10,71,20,0,80,18,0,6,0,0,104
MN -- MARSHALL (County),5,7,11,20,47,37,33,34,31,164,0,0,2,3,56,0,0,0,3,4,15,10,11,41,140,1,0,15,5,8,17,66,63,0,47,3,0,0,1,0,6,193,26,0,183,20,0,22,0,0,225
MN -- MARTIN (County),15,20,32,60,124,106,78,63,24,440,5,0,1,0,76,0,1,2,7,11,18,17,30,67,369,0,2,24,16,29,76,113,129,1,118,2,9,1,2,8,55,357,102,0,396,76,0,50,0,0,522
MN -- MCLEOD (County),14,24,58,96,287,152,123,74,42,683,12,0,3,7,165,0,1,5,15,15,36,38,42,168,549,1,0,25,11,23,78,234,225,23,213,10,21,7,0,16,83,599,172,0,678,83,0,109,0,0,870
MN -- MEEKER (County),8,17,33,47,176,103,97,52,32,467,1,1,1,8,87,0,0,0,7,18,18,10,24,92,395,1,0,15,16,16,56,116,147,10,164,11,9,3,2,8,46,406,105,0,445,69,0,51,0,0,565
MN -- MILLE LACS (County),16,26,53,69,204,125,88,61,31,580,4,0,1,0,88,0,2,2,12,25,29,34,30,119,419,1,4,28,18,31,99,157,163,17,138,9,3,5,1,14,113,385,161,0,464,109,0,100,0,0,673
MN -- MORRISON (County),20,29,54,93,208,158,160,155,46,712,2,0,0,12,197,0,1,7,16,24,41,44,51,148,589,2,5,37,26,41,99,228,242,6,207,16,10,4,2,19,64,685,155,0,707,116,0,100,0,0,923
MN -- MOWER (County),14,23,46,62,179,163,130,92,41,619,6,0,4,2,119,0,2,6,8,14,29,27,23,119,520,2,1,36,27,37,78,190,207,5,145,13,6,4,1,44,93,497,116,0,527,127,0,96,0,0,750
MN -- MURRAY (County),3,4,9,21,33,67,36,48,23,206,0,0,0,0,38,0,1,2,5,4,7,8,5,35,176,1,0,12,7,7,30,43,66,0,77,2,0,0,0,2,10,177,55,0,202,22,0,20,0,0,244
MN -- NICOLLET (County),18,18,18,51,154,131,127,99,33,536,7,1,0,6,99,0,1,1,12,20,36,25,38,94,421,1,1,15,16,17,52,118,190,24,187,9,11,8,1,35,29,438,147,0,470,91,0,88,0,0,649
MN -- NOBLES (County),7,9,11,43,70,107,50,35,14,279,3,1,0,4,59,0,1,3,1,7,8,13,23,41,249,0,0,24,17,10,27,86,84,0,96,1,1,0,0,10,18,255,63,0,269,44,0,33,0,0,346
MN -- NORMAN (County),1,1,5,14,32,25,11,20,14,102,1,0,0,0,20,0,0,1,0,1,4,5,3,27,82,0,0,1,4,8,11,41,27,0,31,0,0,0,0,2,5,89,27,0,97,11,0,15,0,0,123
MN -- OLMSTED (County),47,69,121,200,476,483,396,389,178,1901,18,6,21,11,402,0,5,17,41,61,89,89,130,343,1581,3,3,35,22,53,167,395,518,78,755,86,96,88,63,142,155,1479,583,0,1739,321,0,299,0,0,2359
MN -- OTTER TAIL (County),22,39,98,185,461,325,243,175,84,1316,8,0,3,13,292,0,3,8,13,31,61,69,64,272,1105,6,5,79,44,64,171,337,447,9,407,19,30,7,13,49,52,1271,260,0,1286,180,0,166,0,0,1632
MN -- PENNINGTON (County),2,13,22,26,117,58,34,29,19,252,6,0,1,3,58,0,0,2,4,7,11,15,16,56,207,2,0,10,12,13,31,83,79,1,87,1,2,1,0,11,35,208,66,0,251,39,0,30,0,0,320
MN -- PINE (County),12,34,52,89,214,133,87,54,33,587,4,0,1,2,114,0,0,3,5,17,22,35,45,145,435,1,8,28,31,42,82,195,172,0,139,4,0,5,2,12,53,479,164,0,521,90,0,97,0,0,708
MN -- PIPESTONE (County),2,6,9,23,59,34,34,19,11,158,0,0,0,3,36,0,0,2,1,1,4,7,8,25,149,0,2,10,11,8,25,43,47,0,51,0,0,0,0,1,19,130,47,0,145,29,0,23,0,0,197
MN -- POLK (County),14,13,48,63,157,106,99,88,65,503,8,1,2,5,134,0,0,4,4,14,23,32,31,113,426,6,1,33,15,29,80,139,170,15,151,7,9,4,0,31,77,449,96,0,474,110,0,69,0,0,653
MN -- POPE (County),2,11,16,26,93,41,37,32,17,215,2,0,1,1,56,0,0,2,3,9,12,9,16,38,185,1,0,13,7,11,27,62,76,0,75,0,3,1,0,5,9,212,49,0,214,35,0,26,0,0,275
MN -- RAMSEY (County),147,238,394,690,2017,1373,1070,934,715,5983,139,75,113,80,1188,0,18,46,121,247,413,388,373,1202,4759,11,12,127,118,183,658,1334,1758,180,2231,205,340,242,190,1111,825,3754,1888,0,4923,1906,0,749,0,0,7578
MN -- RED LAKE (County),1,6,6,9,17,16,10,12,12,70,1,0,0,0,18,0,1,0,0,1,5,6,4,21,51,0,1,8,3,2,9,19,21,0,25,1,0,0,0,2,8,65,14,0,68,16,0,5,0,0,89
MN -- REDWOOD (County),10,15,28,31,92,63,34,39,19,244,2,0,0,3,82,0,3,0,5,7,14,16,15,56,214,1,0,15,10,15,36,101,67,0,85,1,1,0,0,5,24,236,66,0,253,40,0,38,0,0,331
MN -- RENVILLE (County),7,12,20,24,94,49,31,27,17,220,0,0,0,2,59,0,0,0,4,5,10,12,17,52,181,0,1,13,5,16,31,79,65,0,67,2,1,1,0,8,37,186,50,0,197,44,0,40,0,0,281
MN -- RICE (County),14,41,50,103,353,222,177,134,89,963,4,2,2,11,201,0,1,5,17,33,65,61,71,205,721,4,4,20,15,15,89,205,303,42,378,27,44,25,16,89,134,752,208,0,854,207,0,122,0,0,1183
MN -- ROCK (County),6,10,16,23,54,43,12,25,19,171,1,0,0,2,34,0,0,0,1,1,8,8,9,24,157,0,0,4,9,12,24,41,62,0,49,6,1,0,0,5,11,149,43,0,151,25,0,32,0,0,208
MN -- ROSEAU (County),6,6,19,29,95,59,42,38,32,260,2,0,1,9,54,0,0,2,7,7,12,16,26,48,208,0,1,22,10,6,32,64,95,0,87,6,3,0,0,5,18,249,54,0,261,37,0,28,0,0,326
MN -- SCOTT (County),48,86,149,319,905,497,349,270,121,2194,33,6,20,23,468,0,7,16,33,113,186,191,233,612,1352,1,9,14,18,24,87,256,447,73,973,209,215,206,213,108,136,1709,791,0,2244,225,0,275,0,0,2744
MN -- SHERBURNE (County),42,95,187,299,748,332,200,140,109,1737,19,2,10,22,362,0,6,11,29,89,162,146,200,503,1005,1,4,8,20,32,89,244,479,113,858,107,115,55,28,53,275,1309,515,0,1727,174,0,251,0,0,2152
MN -- SIBLEY (County),4,11,16,27,72,62,64,42,19,249,2,0,0,1,65,0,1,1,3,8,17,18,15,63,191,0,1,8,12,10,26,66,97,9,81,4,1,2,0,5,18,227,67,0,247,40,0,30,0,0,317
MN -- ST LOUIS (County),98,166,272,491,1257,907,842,833,397,4131,40,4,22,117,949,0,16,24,76,181,260,265,313,855,3266,7,16,212,148,240,655,1220,1171,86,1247,83,104,52,29,262,736,3155,1110,0,3777,923,0,563,0,0,5263
MN -- STEARNS (County),63,114,176,314,843,572,359,338,193,2312,15,11,9,32,593,0,9,20,38,95,131,162,162,465,1885,5,4,81,56,94,280,628,837,85,738,74,52,24,19,71,333,1949,619,0,2305,344,0,323,0,0,2972
MN -- STEELE (County),10,21,37,70,253,137,104,58,29,583,5,0,1,6,124,0,2,3,9,14,38,29,45,131,444,4,1,12,8,27,56,151,191,16,208,15,20,10,4,47,30,522,120,0,544,88,0,87,0,0,719
MN -- STEVENS (County),6,4,9,10,49,30,20,27,20,148,0,0,0,1,26,0,0,0,3,5,8,3,9,23,123,1,0,12,8,7,20,37,46,1,40,1,2,1,0,8,11,120,36,0,115,35,0,25,0,0,175
MN -- SWIFT (County),4,7,6,15,46,46,30,19,20,165,0,0,0,1,27,0,0,2,0,4,7,7,4,27,141,1,1,11,5,9,29,43,49,0,43,1,1,1,0,2,25,116,50,0,147,29,0,17,0,0,193
MN -- TODD (County),17,30,42,87,223,102,72,54,32,537,3,0,1,6,112,0,3,2,11,12,29,26,30,87,459,0,3,48,24,37,78,178,147,0,131,0,10,3,0,6,42,480,131,0,503,83,0,73,0,0,659
MN -- TRAVERSE (County),1,3,7,15,19,18,23,19,0,83,1,0,0,0,21,0,0,0,1,1,1,4,9,13,76,0,0,5,3,2,15,22,29,0,26,1,1,1,0,1,9,73,22,0,81,20,0,4,0,0,105
MN -- WABASHA (County),7,12,27,58,143,103,77,55,34,428,4,0,0,6,78,0,0,0,7,7,18,17,17,99,351,0,2,9,14,16,47,89,190,0,121,8,15,5,0,13,30,381,92,0,381,66,0,69,0,0,516
MN -- WADENA (County),8,14,20,41,106,56,51,36,17,272,3,0,0,4,70,0,0,1,4,4,15,16,23,61,224,1,3,25,18,18,44,124,54,0,60,1,2,0,0,3,20,247,79,0,280,42,0,27,0,0,349
